OBJECTID,name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),jumlah_populasi_(jiwa/km2)
1154,"SD Negeri Ragunan 08, 09 Pagi dan 11 Petang",120,558.8516132,106.8187542,-6.305476197,-165.7416586,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,5.05,9681.023893,48889
1155,SD Negeri Cipulir 05 Pagi,179,882.3437535,106.7832062,-6.238423351,104.0339367,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1.93,25668.90843,49541
1156,SMP Negeri 41 Jakarta,120,499.0540031,106.8187542,-6.305476197,-168.2560597,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,5.05,9681.023893,48889
1157,SMK Negeri 43 Jakarta,179,890.944858,106.7832062,-6.238423351,107.977936,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1.93,25668.90843,49541
1158,SD Negeri Cipulir 07 Pagi,179,816.0279541,106.7832062,-6.238423351,114.0808748,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,1.93,25668.90843,49541
1159,SMP - SMA Negeri Olahraga Ragunan Jakarta,71,936.5122285,106.8188293,-6.305746265,-83.58099629,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,2.26,24765.48673,55970
1160,SD Negeri Ciganjur 01 Pagi dan 03 Petang,71,3447.437181,106.8188293,-6.305746265,17.7507715,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3.38,14249.70379,48164
1161,Sekolah Kartika,71,4265.530193,106.8188293,-6.305746265,-21.01985261,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6.75,10731.73262,72439
1162,SD Negeri Ciganjur 04-05 Pagi,71,3500.147897,106.8188293,-6.305746265,13.70942568,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3.38,14249.70379,48164
1163,SD Negeri Sregseng Sawah 15 Pagi,71,4892.80599,106.8188293,-6.305746265,-24.72665724,,,,,,,,0
1164,SMA Negeri 97 Jakarta,71,4518.096479,106.8188293,-6.305746265,26.1724983,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3.38,14249.70379,48164
1165,SMP Negeri 117 Jakarta,28,1981.141309,106.8780454,-6.239171526,-91.14518263,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,4.9,15673.47356,76800
1166,SMP EL Syifa,71,3448.151656,106.8188293,-6.305746265,22.10165729,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3.38,14249.70379,48164
1167,SMA-SMK Pusaka 1 Jakarta,28,1918.739888,106.8780454,-6.239171526,-90.15744814,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,4.9,15673.47356,76800
1168,Sekolah Mentari,98,1752.447385,106.8019075,-6.243323717,-16.32532399,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1.83,23141.36986,42349
1169,"SDK 4, SLTPK 5 Penabur",28,1642.560787,106.8780454,-6.239171526,-92.23334394,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,2.9,23850.43178,69166
1170,SD Negeri Cipete Utara 15 Pagi,98,2128.862316,106.8019075,-6.243323717,-2.928597107,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,1.83,23141.36986,42349
1171,SMAK Penabur,28,1721.738318,106.8780454,-6.239171526,-98.09900116,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,2.9,23850.43178,69166
1172,SMK Negeri 59 Jakarta,180,1560.935216,106.7816356,-6.252691214,120.1212879,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,1.78,29686.34272,52842
1173,"SD Negeri Manggarai 5,6,7,8",47,752.0546033,106.8474699,-6.208848412,-7.05789755,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,0.95,37286.4638,35422
1174,SMK Kesatuan,47,622.827269,106.8474699,-6.208848412,-73.23547097,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,0.95,37286.4638,35422
1175,SMA YMIK 2,47,634.8571684,106.8474699,-6.208848412,-66.62737949,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,0.95,37286.4638,35422
1176,SD Negeri Tegal Parang 06,198,255.7613586,106.8269631,-6.252336144,124.8402829,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,1.06,38367.42424,40669
1177,SD Negeri Cipete Utara 01,182,1596.219601,106.7836211,-6.267201739,-97.35524454,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,2.32,14114.4555,32746
1178,SMP Negeri 247 Jakarta,198,286.9733042,106.8269631,-6.252336144,128.3675717,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,1.06,38367.42424,40669
1179,Erasmus Huis,77,211.9109576,106.8278596,-6.235914011,-164.4592508,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,2.15,3428.970657,7372
1180,Yayasan Pangudi Luhur,182,1347.531983,106.7836211,-6.267201739,-98.48742438,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,1.77,15339.54802,27151
1181,MAN 7 Jakarta,71,5380.772536,106.8188293,-6.305746265,-0.408974161,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6.75,10731.73262,72439
1182,SMP Negeri 211 SSN,71,5381.891162,106.8188293,-6.305746265,0.070520119,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6.75,10731.73262,72439
1183,SD Negeri Sregseng Sawah 11,71,5345.392355,106.8188293,-6.305746265,-0.042127312,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,6.75,10731.73262,72439
1184,SD Negeri Mangga Dua Selatan 01 dan 03 Pagi,61,266.7178792,106.8323663,-6.136819534,54.47431822,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1.29,27726.39244,35767
1185,SMP Muhammadiyah 1 Jakarta,71,5735.852981,106.8188293,-6.305746265,9.879089382,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,3.97,12059.1865,47875
1186,"Yayasan Budi Mulia Laurdes (PG, TK, SD, SMP, SMA)",146,677.583135,106.8342735,-6.146748126,84.45975924,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,1.29,27726.39244,35767
1187,SMK Jakarta Timur 2,142,4256.628472,106.9522629,-6.212572651,177.8302045,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,9.81,7620.703785,74759
1188,SD Islam Teladan Suci,229,310.9553776,106.8739382,-6.308188202,10.60150324,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,2.19,21998.6292,48177
1189,SD Negeri Susukan 05 Pagi,229,457.6713972,106.8739382,-6.308188202,-3.937576169,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,2.19,21998.6292,48177
1190,SMP Negeri 174 Jakarta,229,422.0115602,106.8739382,-6.308188202,-8.733192849,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,2.19,21998.6292,48177
1191,SD Negeri Kebon Jeruk 10,176,565.1650791,106.7695401,-6.205542635,162.8683845,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,3.69,18265.47474,67400
1192,SD Negeri Susukan 04 Pagi,229,495.5569617,106.8739382,-6.308188202,-0.329760172,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,2.19,21998.6292,48177
1193,SD Negeri Meruya Selatan 04,176,4863.226766,106.7695401,-6.205542635,82.41757859,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,2.8,14427.85714,40398
1194,Saint John's School,176,4816.444596,106.7695401,-6.205542635,84.56883821,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,2.8,14427.85714,40398
1195,Yayasan Abacu - TK & SD Abata,176,1561.286548,106.7695401,-6.205542635,98.34004899,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,4.92,11593.77543,57041
1196,SD Negeri Susukan 03 Pagi,229,542.6612766,106.8739382,-6.308188202,-4.347536229,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,3.93,20623.87095,81052
1197,Sekolah Bukit Sion,175,2065.561681,106.7688856,-6.194295415,71.37036946,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,4.92,11593.77543,57041
1198,Yayasan Abacu - TK & SD Abata,176,1602.468768,106.7695401,-6.205542635,99.36121163,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,4.92,11593.77543,57041
1199,"SD Negeri Srengseng 05 Pagi, 06 Pagi, 08 Petang",176,1430.065027,106.7695401,-6.205542635,102.4027013,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,SRENGSENG,4.92,11593.77543,57041
1200,SD Negeri Susukan 08 Pagi,229,520.731783,106.8739382,-6.308188202,-6.516276174,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,3.93,20623.87095,81052
1201,SMK Negeri 51 Jakarta,166,2236.214941,106.8816435,-6.30921433,-57.59792012,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,3.17,10391.44446,32941
1202,"Sekolah Al Falah TK, SD, SMP dan SMA",166,3896.399192,106.8816435,-6.30921433,-18.0595668,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,MUNJUL,1.9,15691.01419,29813
1203,TK-SD-SMP-SMA-SMK Santo Leo,86,471.2304034,106.816715,-6.149253972,-97.70344661,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,0.51,17941.29159,9150
1204,SD Negeri Cilandak Barat 12 Pagi,120,1887.703392,106.8187542,-6.305476197,113.0306129,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,6.05,10443.76447,63185
1205,SD Negeri Cilandak Barat 13 Pagi,120,1908.514198,106.8187542,-6.305476197,111.8954888,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,6.05,10443.76447,63185
1206,Yayasan Al Anwar,120,1983.231845,106.8187542,-6.305476197,120.5672422,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,6.05,10443.76447,63185
1207,SMK Strada II,85,565.4242318,106.8192384,-6.160196751,-128.2600964,2020,PROVINSI DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,0.59,33563.31582,19802
1208,MI Negeri 20 Jakarta,36,7073.649515,106.8938919,-6.128641829,-95.28985995,2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,7.92,4737.965618,37525
1209,SMP Negeri 180 Jakarta,166,2662.232719,106.8816435,-6.30921433,-65.59414811,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,3.17,10391.44446,32941
1210,MTs Negeri 7 Jakarta,166,1240.086293,106.8816435,-6.30921433,-10.49457461,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,3.93,20623.87095,81052
1211,SMP Negeri 283 Jakarta,166,2394.348881,106.8816435,-6.30921433,-50.83951154,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,3.17,10391.44446,32941
1212,SD Negeri Rambutan 06 Pagi,166,681.7784524,106.8816435,-6.30921433,-23.81226447,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,2.09,22237.32057,46476
1213,SMK Kawula Jakarta,166,585.6413988,106.8816435,-6.30921433,-25.06693437,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,2.09,22237.32057,46476
1214,SMK Prestasi Prima,166,3187.367528,106.8816435,-6.30921433,-34.50865493,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,6.04,5746.4294,34708
1215,SD Negeri Rawa Terate 03,5,1940.517049,106.9087122,-6.182981757,-55.70752539,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,6.6,16281.47025,107458
1216,Sekolah Taman Quraniyah,73,2289.372683,106.82356,-6.29112304,-69.69504002,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,3.65,13636.18912,49772
