"nama_kelurahan","total_pop","prod_age_perc","age_under20","age_productive","age_above60"
"PETOGOGAN",13994,0.593468629412605,4093,8305,1596
"GANDARIA UTARA",48684,0.602004765426013,14529,29308,4847
"CIPETE UTARA",42237,0.603925468191396,13250,25508,3479
"PANCORAN",24463,0.591832563463189,7933,14478,2052
"KALIBATA",52735,0.597307291172845,16972,31499,4264
"RAWA JATI",25849,0.611629076560022,7873,15810,2166
"DUREN TIGA",34740,0.60195739781232,10675,20912,3153
"PENGADEGAN",26742,0.607097449704585,8144,16235,2363
"CIKOKO",12973,0.608109149772605,3937,7889,1147
"JAGAKARSA",79161,0.594926794760046,26044,47095,6022
"SRENGSENG SAWAH",73617,0.594849015852317,24142,43791,5684
"CIGANJUR",49123,0.596054801213281,16410,29280,3433
"LENTENG AGUNG",68097,0.591846924240422,22513,40303,5281
"TANJUNG BARAT",50240,0.596437101910828,16341,29965,3934
"CIPEDAK",48974,0.592640993180055,16607,29024,3343
"PESANGGRAHAN",34624,0.59100623844732,11271,20463,2890
"BINTARO",66250,0.596,21091,39485,5674
"PETUKANGAN UTARA",67678,0.589970152782293,22211,39928,5539
"PETUKANGAN SELATAN",46836,0.593709966692288,15128,27807,3901
"ULUJAMI",51921,0.588278345948653,17451,30544,3926
"PISANGAN BARU",39450,0.587832699619772,12374,23190,3886
"UTAN KAYU UTARA",34884,0.596118564384818,10842,20795,3247
"KAYU MANIS",31149,0.592956435198562,9607,18470,3072
"PAL MERIAM",24264,0.602209033959776,7129,14612,2523
"KEBON MANGGIS",19945,0.602005515166708,5708,12007,2230
"UTAN KAYU SELATAN",41402,0.588667214144244,12789,24372,4241
"PULO GADUNG",42939,0.604904632152589,13195,25974,3770
"PISANGAN TIMUR",50970,0.592937021777516,16004,30222,4744
"CIPINANG",48690,0.599466009447525,14960,29188,4542
"JATINEGARA KAUM",31248,0.597126216077829,10311,18659,2278
"RAWAMANGUN",46147,0.596376795891391,13938,27521,4688
"KAYU PUTIH",49943,0.598402178483471,14792,29886,5265
"JATI",39879,0.591564482559743,11678,23591,4610
"KAMPUNG MELAYU",32755,0.576186841703557,11041,18873,2841
"BIDARA CINA",45188,0.59816765512968,13653,27030,4505
"BALI MESTER",11534,0.590601699323739,3113,6812,1609
"RAWA BUNGA",26828,0.577493663336812,8667,15493,2668
"CIPINANG CEMPEDAK",39910,0.592032072162365,11602,23628,4680
"CIPINANG MUARA",68936,0.583961935708483,21921,40256,6759
"CIPINANG BESAR SELATAN",44576,0.591057968413496,14699,26347,3530
"CIPINANG BESAR UTARA",58006,0.587301313657208,19368,34067,4571
"KRAMAT JATI",42554,0.602223057761903,13381,25627,3546
"TENGAH",56662,0.583212735166425,19426,33046,4190
"DUKUH",31406,0.586384767241928,10560,18416,2430
"BATU AMPAR",61120,0.585880235602094,20511,35809,4800
"BALE KAMBANG",37298,0.588825138077109,12612,21962,2724
"CILILITAN",50456,0.593804502933249,16131,29961,4364
"CAWANG",40821,0.598515469978687,12710,24432,3679
"GEDONG",45195,0.58756499612789,14883,26555,3757
"BARU",30482,0.59428515189292,10522,18115,1845
