OID_,x,y,fid_1,dist_1,ang_1,fid_2,dist_2,ang_2,fid_3,dist_3,ang_3,fid_4,dist_4,ang_4,fid_5,dist_5,ang_5,fid_6,dist_6,ang_6,fid_7,dist_7,ang_7,fid_8,dist_8,ang_8,fid_9,dist_9,ang_9,fid_0,dist_0,ang_0
265,106.914996134160006,-6.154999968138010,1,10365.037036623301901,-99.890161085077111,1,10331.507306858729862,-100.227322005624544,1,15152.909132281798520,-122.568264034323192,1,10493.930626030920394,-97.704973850094476,1,11078.434898296503889,-155.988487926075379,1,10970.372151535462763,-118.674985238818635,1,4163.756617991754865,-107.457797937887690,1,6025.892998212549173,-133.103486513861583,1,8342.531753227875015,-126.048417587317275,1,2871.957854157592465,-70.254188576100049
266,106.924996133893004,-6.154999968138010,1,11456.984596599695578,-98.940422308219055,1,11422.430563049088960,-99.242533841142148,1,16096.707975403049204,-120.448070153989292,1,11591.706862147028005,-96.972491036164527,1,11569.584993999604194,-151.287092951780068,1,11953.247339296978680,-116.129457123107997,1,5230.143615655361828,-103.818737564004607,1,6875.721908380197419,-126.789339710677083,1,9260.346830855736698,-122.016194779999665,1,3406.736974642126370,-150.551288557286796
267,106.934996133626001,-6.154999968138010,1,12551.534909274194433,-98.156234489818090,1,12516.142525333072626,-98.429742360737947,1,17060.103280702402117,-118.565049363062087,1,12691.051994124924022,-96.366916431527628,1,12140.187675749302798,-146.701907901782960,1,12956.120685419915390,-113.974358319245411,1,6310.466433077022884,-101.418716539573708,1,7790.356170144718817,-121.909408880798466,1,10215.679616168290522,-118.724326102137923,1,4058.531909083117171,-137.590302091897399
268,106.944996133358998,-6.154999968138010,1,13648.061670514773141,-97.498033462891186,1,13611.970888790316167,-97.747784822040089,1,18039.955668093796703,-116.884985738073865,1,13791.590740615845789,-95.858024882611645,1,12781.341698406453361,-142.552282673485081,1,13974.687332860796232,-112.131189499465478,1,7398.622888290292394,-99.722529002719043,1,8749.495825552241513,-118.076446079537277,1,11198.932698987162439,-116.002862292762501,1,4873.993693387739768,-127.939053596357923
269,106.954996133091996,-6.154999968138010,1,14746.124173242287725,-96.937872285376656,1,14709.442850511923098,-97.167596566704233,1,19033.229522710364108,-115.517982368374135,1,14893.058688997545687,-95.424456112900131,1,13482.986188172011680,-138.816599975785323,1,15005.752095081703374,-110.539921782203535,1,8491.602165616153798,-98.462240948253140,1,9740.001989708531255,-115.011655623719136,1,12203.359306365180601,-113.725013671966707,1,5784.712094123442512,-121.393333862329527
270,106.964996132824993,-6.154999968138010,1,15845.403059843214578,-96.455467152756611,1,15808.216010935351733,-96.668090980877608,1,20037.749368269851402,-114.155510887523747,1,15995.263792331606965,-95.050695090571395,1,14236.179899730792386,-135.463194700734050,1,16046.905940008182370,-109.154255060754082,1,9587.754967430955730,-97.489863451901357,1,10753.210332818283860,-112.518449669029565,1,13224.135598222450426,-111.796231094283797,1,6754.155184421088961,-116.497439494558094
271,106.974996132558005,-6.154999968138010,1,16945.661608182464988,-96.035748790729485,1,16908.036695408769447,-96.233608457083989,1,21052.523256757511263,-112.923796367080385,1,17098.063491570668702,-94.725204874946570,1,15033.176655824003319,-132.455977673741927,1,17083.770125361021201,-110.372400439135731,1,10686.104742393305060,-96.717297624968680,1,11783.266028609108616,-110.457874682225054,1,14257.750364874995284,-110.145526598386610,1,7760.432240694984102,-112.850099338714401
272,106.984996132291002,-6.154999968138010,1,18046.720526875509677,-95.667293418127215,1,18008.712872632218932,-95.852282092381856,1,22076.137087462684576,-111.805876514959877,1,18201.349598606309883,-94.439230946375432,1,15867.377241533304186,-129.758206019069263,1,18125.451070089435234,-109.155372059614095,1,11786.037183326878221,-96.088934104235292,1,12826.110617796926817,-108.730518631823614,1,15301.602026683367512,-108.719057903713562,1,8790.897801090661233,-110.123145982475577
273,106.994996132023999,-6.154999968138010,1,19148.441950438107597,-95.341286247113629,1,19110.096923563869495,-95.514958378756660,1,23107.416303939713544,-110.787429643647030,1,19305.038920142840652,-94.186011435340589,1,16733.218571555200469,-127.334746847698895,1,19174.425958211766556,-108.071115960889941,1,12887.147241122826017,-95.567985899041417,1,13878.861748083021666,-107.264122413402333,1,16353.730639459645317,-107.475512563311327,1,9837.522136383588077,-107.905811693885994
274,106.654996141103993,-6.164999967922960,1,17816.620392160941265,80.587857404690197,1,17463.162353880768933,114.000148382068389,1,17461.025850227248156,113.933382776101354,1,15652.797904590001053,95.918791094843286,1,15665.490216233658430,95.992596406191879,1,19577.697512015784014,102.269650360658090,1,24461.053889528069703,99.286031615409854,1,22333.267056514694559,99.769681382460277,1,19841.250495985539601,78.943972179113771,1,5649.284220056709273,78.246772602175369
